ID,outsider,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,recommend,future_recommend,lookfor,future_lookfor,trust,firstknow,knowyear,experience,times
1,1,5,9,5,7,9,9,9,7,7,7,9,5,7,9,7,9,5,7,1,9,7,7,7,2014,5,10,3
2,1,10,10,7,8,7,7,9,10,9,10,10,9,10,8,8,10,8,8,1,8,9,8,10,2016,3,6,2
3,1,10,10,10,10,10,8,9,10,8,8,10,10,10,10,10,10,10,10,1,10,10,10,10,2016,3,2,1
4,1,9,10,9,9,9,9,10,10,9,9,9,9,9,9,9,10,9,9,1,10,10,10,10,2017,2,3.5,1
5,1,10,10,10,5,5,7,6,10,6,10,10,10,6,6,6,8,10,7,0,10,7,10,9,2016,3,3.5,2
6,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,5,5,10,2014,5,10,2
7,1,9,9,5,7,7,7,10,3,4,8,8,4,8,5,5,10,2,3,1,8,2,3,8,2016,3,8.5,2
8,1,10,10,6,6,10,7,8,7,7,10,8,7,10,10,8,8,7,9,1,10,3,2,8,2015,4,10,2
9,1,10,10,8,7,8,8,9,8,7,8,9,9,7,7,8,10,8,7,1,9,9,10,9,2015,4,6,2
10,1,6,8,9,8,6,6,7,7,7,8,10,10,9,8,7,7,7,6,0,6,5,6,7,2017,2,2,1
11,1,9,7,9,9,7,6,7,9,10,8,8,10,9,5,7,7,8,10,1,10,3,5,7,2014,5,6,2
12,1,8,8,7,9,6,6,8,7,6,8,7,7,8,8,8,7,7,8,1,7,9,9,8,2014,5,3.5,1
13,1,7,7,5,7,6,3,7,8,4,9,6,7,8,7,7,6,5,5,1,8,4,7,8,2016,3,3.5,1
14,1,6,8,7,9,6,9,9,8,10,3,8,8,6,5,8,5,5,9,1,9,8,9,8,2017,2,8.5,2
15,1,10,10,7,10,7,10,8,9,7,8,10,7,7,9,9,9,9,5,1,9,10,8,7,2014,5,10,5
16,1,2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,0,5,3,3,7,2014,5,3.5,1
17,1,6,8,8,10,6,10,10,7,7,8,7,9,9,6,6,8,7,5,1,10,10,10,10,2018,1,3.5,1
18,1,10,10,10,10,10,5,10,10,10,10,10,10,10,10,7,10,8,10,1,8,7,7,8,,,,
19,1,10,10,9,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,1,8,5,6,6,2014,5,8.5,1
20,1,10,10,10,10,10,10,10,10,8,7,9,10,7,10,10,9,10,7,1,10,7,6,10,2016,3,3.5,1
21,1,8,9,6,8,8,7,9,9,10,8,7,5,8,8,8,8,10,8,1,10,10,10,9,2017,2,3.5,1
22,1,10,10,10,10,8,10,10,8,7,10,10,10,10,10,10,10,10,10,1,10,10,10,10,2014,5,10,2
23,1,10,10,10,10,6,7,10,8,2,10,10,10,7,5,6,9,6,2,1,8,10,8,10,2018,1,2,2
24,1,10,8,10,8,9,9,7,9,4,9,8,9,8,9,7,9,7,5,0,5,3,7,8,2018,1,3.5,1
25,1,8,8,6,7,7,6,7,5,5,7,6,6,7,8,7,7,5,5,0,6,3,6,7,2017,2,10,1
26,1,7,5,5,9,6,5,8,8,6,8,6,10,10,10,8,10,7,5,0,5,4,5,7,2018,1,3.5,1
27,1,7,5,5,3,6,4,5,5,4,8,5,5,6,4,4,4,4,3,,,,,,,,,
28,1,8,7,10,10,8,9,10,8,7,8,9,10,8,7,10,10,7,7,1,10,5,8,10,2018,1,8.5,1
